reference;unit;wholesae price;stampless price;wholesale plus price;retail price
6550;48;9,4;8,65;14,1;23,5
6757-6760;50;7,9;7,26;11,85;19,75
7400;56;8,8;8,09;13,2;22
7500;56;8,54;7,85;12,81;21,35
7600;57;8,54;7,85;12,81;21,35
7770;58;11,3;7,76;16,95;28,25
80100;60;10,85;10,4;16,28;27,125
8150;62;15,12;9,98;22,68;37,8
8250;60;13,88;13,9;20,82;34,7
8300;63;13,88;12,75;20,82;34,7
9200;70;17,22;15,85;25,83;43,05
9850;75;18,2;16,75;27,3;45,5
11300;86;22,75;20,93;34,13;56,875
1525Τ;0;1,4;1,4;1,4;3,5
2035Τ;0;2,1;2,1;2,1;5,25
2040Τ;0;2,55;2,55;2,55;6,375
2535Τ;0;2,8;2,8;2,8;7
3040Τ;0;3,75;3,75;3,75;9,375
