ΚΩΔ.,ΡΑΦΙ,ΤΕΜ .,ΚΑΛΛΙΤΕΧΝΗΣ,ΤΙΤΛΟΣ
ANB 1002,W10,1,Annabella Baretti,Giglio Rosso 
ANF 1042,W10,1,Anna Flores ,Tempting Flowers 
ANF 1043,W10,1,Anna Flores ,Power Theme I
ANF 1044,W10,1,Anna Flores ,Power Theme II
ANF 1046,N10,1,Anna Flores ,Grey Zone 
ANF 1047,H1,1,Anna Flores ,Coffee Heart 
ANF 1048,H1,1,Anna Flores ,Wake Up 
ANF 1049,P1,1,Anna Flores ,Café Au Lait
ANF 1050,P1,1,Anna Flores ,Coffee Concept 
ANF 1054,P1,1,Anna Flores ,Grey In Grey 
ANF 1055,P1,1,Anna Flores ,Shades Of Grey 
ANF 1056,S1,1,Anna Flores ,Silver Games II
ANF 1057,S1,1,Anna Flores ,Silver Games I
ANF 1058,P1,1,Anna Flores ,Terra Sienna 
ANF 1059,P1,1,Anna Flores ,Mandarin 
ANF 1061,S1,1,Anna Flores ,Umbra Ideas 
ANF 1064,M9,1,Anna Flores ,Grey Rose 
ANF 1065,P1,1,Anna Flores ,Wild Toaster 
ANF 1066,P1,1,Anna Flores ,Heart By Chair 
ANF 1067,W10,1,Anna Flores ,Sea You 
ANF 1068,W10,1,Anna Flores ,Star Shell 
ANF 1070,P1,1,Anna Flores ,Wine For Two 
ANF 1071,P1,1,Anna Flores ,Bring Rosesi 
ANF 1072,P1,1,Anna Flores ,To Start With 
ANF 1073,P1,1,Anna Flores ,Cool & White 
ANF 1078,S1,1,Anna Flores ,Variable Red 
ANF 1079,S1,1,Anna Flores ,Red Tones 
ANF 1080,S1,1,Anna Flores ,Composed In Orange 
ANF 1081,S1,1,Anna Flores ,Combined In Red 
ANF 1082,M9,1,Anna Flores ,Orange Rose 
ANF 1083,M9,1,Anna Flores ,Poppies On Violet 
ANF 1084,S1,1,Anna Flores ,Lilac On Blue 
ANF 1085,S1,1,Anna Flores ,Blooms In Green 
ANF 1151,I5,1,Anna Flores ,Latte Macchiato I 
ANF 1152,I5,1,Anna Flores ,Espresso
ANF 1153,I5,1,Anna Flores ,Mocca
