reference,legend,image_url,quantity
1AN3725,Cynthia Ann - Tulips in Wonderland II,https://pg-plaisio.gr/img/p/1/0/3/4/6/10346.jpg,0
1AN4582,Cynthia Ann - Poppies in crystal vases (Aqua I),https://pg-plaisio.gr/img/p/5/1/2/0//5120.jpg,0
1AN4584,Cynthia Ann - Poppies in crystal vases (Purple I),https://pg-plaisio.gr/img/p/5/1/2/4//5124.jpg,0
1AN4675,Cynthia Ann - Poppies in Bloom I,https://pg-plaisio.gr/img/p/5/1/2/8//5128.jpg,0
1AN4676,Cynthia Ann - Poppies in Bloom II,https://pg-plaisio.gr/img/p/5/1/3/2//5132.jpg,0
1AN4709,Cynthia Ann - Callas in crystal vases I (detail),https://pg-plaisio.gr/img/p/5/1/3/6//5136.jpg,0
1AN4710,Cynthia Ann - Callas in crystal vases II (detail),https://pg-plaisio.gr/img/p/5/1/4/0//5140.jpg,0
1AO2487,Alphonse Baron - Printemps I,https://pg-plaisio.gr/img/p/1/3/8/3/9/13839.jpg,0
1AO2488,Alphonse Baron - Printemps II,https://pg-plaisio.gr/img/p/1/3/8/3/5/13835.jpg,0
1AP1656,"Victor Jorgensen - Kissing the War Goodbye in Times Square, 1945",https://pg-plaisio.gr/img/p/1/7/3/0/3/17303.jpg,0
1AP2991,NASA - Earth View from Space (Asia),https://pg-plaisio.gr/img/p/1/7/2/9/9/17299.jpg,0
1AP2992,NASA - Earth View from Space (North America),https://pg-plaisio.gr/img/p/1/7/2/9/5/17295.jpg,0
1AP3243,NASA - Earth,https://pg-plaisio.gr/img/p/1/7/2/9/1/17291.jpg,0
1AP3683,Gasoline Images - Ocean Waves Breaking on Vintage Beauties (BW detail 1),https://pg-plaisio.gr/img/p/1/0/2/5/3/10253.jpg,0
1AP3684,Gasoline Images - Ocean Waves Breaking on Vintage Beauties (BW detail 2),https://pg-plaisio.gr/img/p/1/0/2/4/9/10249.jpg,0
1AP3686,Gasoline Images - Ocean Waves Breaking on Vintage Beauties (detail 1),https://pg-plaisio.gr/img/p/1/0/2/4/5/10245.jpg,0
1AP3687,Gasoline Images - Ocean Waves Breaking on Vintage Beauties (detail 2),https://pg-plaisio.gr/img/p/1/0/2/4/1/10241.jpg,0
1AP3983,Haute Photo Collection - Leaping Beauty (detail),https://pg-plaisio.gr/img/p/1/0/2/3/7/10237.jpg,0
1AP3987,"Julian Lauren - Vintage Taxi in Times Square, NYC (detail)",https://pg-plaisio.gr/img/p/1/0/2/3/5/10235.jpg,0
1AP4040,Haute Photo Collection - Ballerina Dancing (detail),https://pg-plaisio.gr/img/p/1/0/2/2/7/10227.jpg,0
1AP4042,Haute Photo Collection - Ballerina in Red (detail),https://pg-plaisio.gr/img/p/1/0/2/2/3/10223.jpg,-1
1AP4323,Julian Lauren - That Look,https://pg-plaisio.gr/img/p/6/9/3/9//6939.jpg,0
1AP4340,Big City Photos - Heart of a City I,https://pg-plaisio.gr/img/p/6/9/4/3//6943.jpg,0
1AP4341,Big City Photos - Heart of a City II,https://pg-plaisio.gr/img/p/6/9/4/7//6947.jpg,0
1AP4531,Arlo Wren Photos - Lord of the Woods (detail),https://pg-plaisio.gr/img/p/6/9/5/1//6951.jpg,0
